ticker,posts,lastPosts,postsChange,likes,lastLikes,impressions,lastImpressions,rank,retweets,lastRetweets,name,price,change,changePercent,volume,marketCap,previousVolume,previousClose
AL,20,12,66.66666666666667,197,7,124811,23317,92,10,0,Air Lease Corporation,37.25,1.62,0.04547,37232,4246021487,1771800,35.63
ILMN,21,13,61.53846153846154,5,4,56491,267756,93,2,30,"Illumina, Inc.",323.56,10.04,0.03202,102361,50798920000,778677,313.52
CASH,282,176,60.22727272727273,63260,243036,129921,121438,94,62547,233630,"Meta Financial Group, Inc.",50.48,1.09,0.02207,39345,1506823103,390653,49.39
U,305,192,58.85416666666667,34824,2571,913861,1027056,95,3912,424,Unity Software Inc.,85.865,4.785,0.05902,674637,25252495253,5557567,81.08
LI,114,72,58.33333333333333,593,543,1217768,597351,96,129,67,Li Auto Inc.,26.45,2.21,0.09117,3007048,23741401504,12101406,24.24
VTNR,208,133,56.39097744360902,713,735,1671302,804116,97,81,239,"Vertex Energy, Inc.",7.8,0.14,0.01828,928786,493646127,14790308,7.66
GOLD,1835,1174,56.303236797274266,772815,196835,7847698,4659463,98,80340,23499,Barrick Gold Corporation,24.005,-1.355,-0.05343,9496084,42712841543,67227937,25.36
OCGN,893,572,56.11888111888113,8110,1182,1301804,563549,99,1641,325,"Ocugen, Inc.",2.58,0.14,0.05738,1805667,514679512,19148543,2.44
CNQ,116,75,54.666666666666664,1553,831,339494,328287,100,242,121,Canadian Natural Resources Limited,58.41,-1.3,-0.02177,582293,68184586112,5911941,59.71
EA,37,24,54.16666666666667,32,75,110569,66581,101,13,26,Electronic Arts Inc.,124.91,2.24,0.01826,146680,35127473496,2211699,122.67
WES,9,6,50,4,14,25989,7280,102,0,2,"Western Midstream Partners, LP",25.74,0.57,0.02265,147612,10387286369,7031235,25.17
IMO.TO,3,2,50,0,0,1343,1134,103,0,0,Imperial Oil Limited,55.66,-2.26,-0.03902,22602,37244539121,861427,57.92
APLE,3,2,50,0,1,8173,16189,104,0,0,"Apple Hospitality REIT, Inc.",17.83,0.46,0.02648,183975,4069798097,1966870,17.37
AREB,30,20,50,474,236,153605,257881,105,49,88,"American Rebel Holdings, Inc.",1.345,0.19500005,0.16956526,4308266,,,1.15
RA,3,2,50,0,0,7525,16728,106,0,0,Brookfield Real Assets Income Fund Inc.,20.65,0.24,0.01176,41419,906388447,188591,20.41
WKHS,175,117,49.572649572649574,511,637,585734,626576,107,197,236,Workhorse Group Inc.,3.815,-0.015,-0.00392,867313,595087006,7313285,3.83
EEENF,673,452,48.8938053097345,11559,6407,1313570,693240,108,1710,975,88 Energy Limited,0.0319,0,0,0,506738116,120793327,0.0319
GOEV,34,23,47.82608695652173,178,92,205233,63438,109,39,24,Canoo Inc.,5.56,0.52,0.10317,971955,1326784396,2617817,5.04
EVGO,99,67,47.76119402985075,530,532,494686,304435,110,122,113,"EVgo, Inc.",12.08,0.34,0.02896,1518077,830340182,4774104,11.74
CRDF,13,9,44.44444444444444,10,3,53114,10354,111,3,8,"Cardiff Oncology, Inc.",2.445,0.125,0.05388,51010,105883319,799859,2.32
CODX,13,9,44.44444444444444,8,0,84079,60395,112,4,0,"Co-Diagnostics, Inc.",5.665,0.255,0.04713,34913,163661227,496122,5.41
AMD,1459,1012,44.1699604743083,69350,14127,13763528,4981008,113,11981,2370,"Advanced Micro Devices, Inc.",108.095,2.565,0.02431,16629459,129638703401,135348316,105.53
ACH,754,525,43.61904761904762,53261,20866,1298839,1015615,114,73846,23089,Aluminum Corporation of China Limited,15.81,-0.14,-0.00878,12845,2494164083,281182,15.95
EMB,40,28,42.85714285714286,1908,585,352731,306974,115,177,84,iShares J.P. Morgan USD Emerging Markets Bond ETF,95.375,0.685,0.00723,1301640,16156525000,10283043,94.69
